,title,views,likes,comments,Description,duration,publishedAt
30,When a Scammer Calls You...,12903878,285306,9292,"The plot twist will blow your mind.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga

epic merch: https://belugacat.com",PT2M41S,2022-02-04T14:30:15Z
31,Discord in 2045:,12590939,458750,9132,"Yesterday is history. Tomorrow is a mystery. But today is a gift... that's why it's called the present :)

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow me or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M16S,2022-03-12T15:01:12Z
32,Discord Mods Be Like...,12378775,487979,12706,"We have a few rules...

Discord admins and mods are the most powerful beings to exist. Full power, complete control, nothing gets in their way.

Twitter ➤ https://twitter.com/beluga1000
Join MY Discord ➤ https://discord.gg/CETznntGeQ

#Discord",PT2M15S,2021-06-12T16:02:38Z
33,Discord Server Owners Be Like...,12325464,553530,16759,"@everyone, STOP POSTING memes in general.

Discord server owners are the most powerful beings to exist, even greater than mods. Full power, complete control, nothing gets in their way.

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/beluga

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord",PT4M34S,2021-06-26T18:42:25Z
34,Discord Light Mode Users Be Like...,12318077,406639,19049,"Never turn on light mode.

Discord light mode is the most dangerous theme to exist. Full brightness, no comfort, nothing gets in its way.

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/XEsd5C7SF5

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord",PT2M31S,2021-07-28T18:00:02Z
35,When you have a Substitute Teacher...,12145504,325326,10047,"It does not end well.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000",PT3M17S,2021-12-08T14:49:49Z
36,When You Use the Wrong Emoji...,12132315,525525,18016,"It does not end well.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video!
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT2M36S,2021-09-10T15:34:22Z
37,When Your Favorite Song Comes On...,11636449,359493,14234,"Music can be dangerous.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT2M17S,2021-10-14T14:00:00Z
38,When someone doesn't follow you back...,11594779,593731,15870,"They will regret it.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video!
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT2M39S,2021-08-25T17:00:15Z
39,When Your Storage runs out...,11474757,486784,39387,"This is bad.

Full storage is the worst thing that could ever happen... but there is an easy trick to fix it.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video!
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M16S,2021-08-29T16:26:27Z
40,Countries Portrayed by Discord,11420435,464798,31799,"It does not end well.

Discord is great for everyday people... but what happens when countries start using it?

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/beluga

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord",PT3M54S,2021-06-24T20:14:37Z
41,Life of a Discord Mod (24 hours),11360842,428288,13582,"It does not end well.

Discord mod is the most powerful position in the world. Full power, complete control... but what does their daily life look like?

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/beluga

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord",PT3M33S,2021-07-04T18:08:19Z
42,Discord Mod VS Flat Earther,11249370,401155,19511,"It does not end well.

Discord mods are the most powerful beings in the world... but what happens when a flat earther joins the server?

Twitter ➤ https://twitter.com/beluga1000
Join My Discord ➤ https://discord.gg/beluga

The discord is FULL, but if you follow my twitter i'll put you in the next video!

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

#Discord",PT3M27S,2021-07-12T17:52:27Z
43,When You Win the Kahoot by Guessing...,11195559,329792,14723,"Don't try this in class.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M1S,2021-11-01T14:36:31Z
44,Smartest Way to Cheat in Kahoot...,11168609,208922,6356,"It actually works.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow me or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M49S,2022-02-28T15:00:45Z
45,"When a ""Friend"" forgets your Birthday...",11119872,467801,33416,"The plot twist at the end will shock you.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video!
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M14S,2021-08-15T16:56:46Z
46,If You Had 1 Minute to Live...,10963096,319934,12023,"Time is running out.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga

epic merch: https://belugacat.com",PT2M45S,2021-12-30T14:11:35Z
47,Squid Game Be Like...,10961912,457984,19645,"This is so sad.

Squid Game is the most popular show on Netflix... so I made my own version.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M27S,2021-10-12T13:30:01Z
48,Impossible Kahoot (99.9% fail),10773271,204406,5528,"I bet you'll fail this Kahoot.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow me or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT2M57S,2022-03-10T14:45:00Z
49,The first video on Youtube...,10762155,372745,11677,"Only 1% spot the secret message.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow me or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT3M12S,2022-04-20T14:15:03Z
50,When you think your parents aren't around...,10683105,339992,7427,"This is the greatest plot twist of all time.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these or i will bite you
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000
• Discord - https://discord.gg/beluga",PT2M53S,2021-12-16T14:02:45Z
51,Turning off Airplane Mode during a Flight...,10644051,407740,15366,"It does not end well.

╔═╦╗╔╦╗╔═╦═╦╦╦╦╗╔═╗
║╚╣║║║╚╣╚╣╔╣╔╣║╚╣═╣ 
╠╗║╚╝║║╠╗║╚╣║║║║║═╣
╚═╩══╩═╩═╩═╩╝╚╩═╩═╝

follow these for a chance to be in my next video :3
• Twitter - https://twitter.com/beluga1000
• Instagram - https://instagram.com/beluga1000",PT2M36S,2021-08-09T16:39:25Z
